"","CONCEPT_ID","CONCEPT_NAME","STANDARD_CONCEPT","STANDARD_CONCEPT_CAPTION","INVALID_REASON","INVALID_REASON_CAPTION","CONCEPT_CODE","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID"
"1",3091619,"Suicidal","N","Non-Standard","U","Invalid","139483003","Condition","Nebraska Lexicon","Clinical Finding"
"2",3091711,"Suicidal thoughts","N","Non-Standard","U","Invalid","139586008","Condition","Nebraska Lexicon","Clinical Finding"
"3",3091713,"Planning suicide","N","Non-Standard","U","Invalid","139588009","Condition","Nebraska Lexicon","Clinical Finding"
"4",3109774,"Suicidal - symptom","N","Non-Standard","U","Invalid","162198003","Condition","Nebraska Lexicon","Clinical Finding"
"5",3109834,"Planning suicide","N","Non-Standard","U","Invalid","162316008","Condition","Nebraska Lexicon","Clinical Finding"
"6",3143915,"Suicidal thoughts","N","Non-Standard","U","Invalid","271950009","Condition","Nebraska Lexicon","Clinical Finding"
"7",3174841,"Passive suicidal ideations","S","Standard","V","Valid","23000001000004101","Condition","Nebraska Lexicon","Clinical Finding"
"8",3185257,"Suicidal thoughts","N","Non-Standard","V","Valid","6471006","Condition","Nebraska Lexicon","Clinical Finding"
"9",3218671,"Suicidal behaviour","N","Non-Standard","V","Valid","425104003","Condition","Nebraska Lexicon","Clinical Finding"
"10",3227998,"Suicidal","N","Non-Standard","V","Valid","267073005","Condition","Nebraska Lexicon","Clinical Finding"
"11",3272204,"Has access to planned means of suicide","N","Non-Standard","V","Valid","711561004","Condition","Nebraska Lexicon","Clinical Finding"
"12",3312803,"Planning suicide","N","Non-Standard","V","Valid","247650009","Condition","Nebraska Lexicon","Clinical Finding"
"13",3330529,"Suicidal intent","N","Non-Standard","V","Valid","304594002","Condition","Nebraska Lexicon","Clinical Finding"
"14",4092095,"Planning suicide","S","Standard","V","Valid","247650009","Condition","SNOMED","Clinical Finding"
"15",4119967,"Suicidal intent","S","Standard","V","Valid","304594002","Condition","SNOMED","Clinical Finding"
"16",4143064,"Suicidal","S","Standard","V","Valid","267073005","Condition","SNOMED","Clinical Finding"
"17",4273391,"Suicidal thoughts","S","Standard","V","Valid","6471006","Condition","SNOMED","Clinical Finding"
"18",4322252,"Suicidal behavior","S","Standard","V","Valid","425104003","Condition","SNOMED","Clinical Finding"
"19",40305056,"Suicidal (& [symptom])","N","Non-Standard","U","Invalid","139483003","Condition","SNOMED","Clinical Finding"
"20",40305620,"Suicidal thoughts","N","Non-Standard","U","Invalid","139586008","Condition","SNOMED","Clinical Finding"
"21",40305622,"Planning suicide","N","Non-Standard","U","Invalid","139588009","Condition","SNOMED","Clinical Finding"
"22",40326368,"Suicidal (& [symptom])","N","Non-Standard","U","Invalid","162198003","Condition","SNOMED","Clinical Finding"
"23",40326923,"Planning suicide","N","Non-Standard","U","Invalid","162316008","Condition","SNOMED","Clinical Finding"
"24",40352124,"Suicidal thoughts","N","Non-Standard","U","Invalid","271950009","Condition","SNOMED","Clinical Finding"
"25",44828587,"Suicidal ideation","N","Non-Standard","V","Valid","V62.84","Condition","ICD9CM","5-dig billing V code"
"26",45428386,"Suicidal - symptom","N","Non-Standard","V","Valid","1B19.11","Condition","Read","Read"
"27",45454898,"Suicidal plans","N","Non-Standard","V","Valid","1BD3.00","Condition","Read","Read"
"28",45491748,"Suicidal","N","Non-Standard","V","Valid","1B19.00","Condition","Read","Read"
"29",45504973,"Suicidal ideation","N","Non-Standard","V","Valid","1BD1.00","Condition","Read","Read"
"30",45524871,"SUICIDAL IDEATION","N","Non-Standard","V","Valid","3009BN","Condition","OXMIS","OXMIS"
"31",45530870,"SUICIDAL PLANS","N","Non-Standard","V","Valid","3009BP","Condition","OXMIS","OXMIS"
"32",45531935,"SUICIDAL THOUGHTS","N","Non-Standard","V","Valid","3009BT","Condition","OXMIS","OXMIS"
"33",45582713,"Suicidal ideations","N","Non-Standard","V","Valid","R45.851","Condition","ICD10CM","6-char billing code"
"34",45618459,"Suicidal Ideation","N","Non-Standard","V","Valid","D059020","Condition","MeSH","Main Heading"
"35",46273080,"Has access to planned means of suicide","S","Standard","V","Valid","711561004","Condition","SNOMED","Clinical Finding"
