"","CONCEPT_ID","CONCEPT_NAME","STANDARD_CONCEPT","STANDARD_CONCEPT_CAPTION","INVALID_REASON","INVALID_REASON_CAPTION","CONCEPT_CODE","DOMAIN_ID","VOCABULARY_ID","CONCEPT_CLASS_ID","VALID_START_DATE","VALID_END_DATE"
"1",372599,"Severe mixed bipolar I disorder without psychotic features","S","Standard","V","Valid","46229002","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"2",432290,"Mild bipolar I disorder, single manic episode","S","Standard","V","Valid","41552001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"3",432866,"Bipolar I disorder, single manic episode","S","Standard","V","Valid","9340000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"4",432876,"Bipolar I disorder","S","Standard","V","Valid","371596008","Condition","SNOMED","Clinical Finding",1028073600000,4102358400000
"5",433743,"Mixed bipolar I disorder in remission","S","Standard","V","Valid","35481005","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"6",433992,"Bipolar affective disorder, currently manic, moderate","S","Standard","V","Valid","191621009","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"7",435225,"Depressed bipolar I disorder in full remission","S","Standard","V","Valid","22121000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"8",435226,"Bipolar affective disorder, current episode mixed","S","Standard","V","Valid","192362008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"9",436072,"Bipolar disorder in partial remission","S","Standard","V","Valid","5703000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"10",436086,"Manic bipolar I disorder in full remission","S","Standard","V","Valid","30935000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"11",436386,"Severe depressed bipolar I disorder with psychotic features","S","Standard","V","Valid","59617007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"12",436665,"Bipolar disorder","S","Standard","V","Valid","13746004","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"13",437250,"Mild depressed bipolar I disorder","S","Standard","V","Valid","74686005","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"14",437528,"Bipolar affective disorder, currently depressed, moderate","S","Standard","V","Valid","191630001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"15",437529,"Mixed bipolar I disorder in partial remission","S","Standard","V","Valid","36583000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"16",438129,"Severe manic bipolar I disorder with psychotic features, mood-congruent","S","Standard","V","Valid","78640000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"17",439001,"Severe mixed bipolar I disorder with psychotic features","S","Standard","V","Valid","10981006","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"18",439243,"Bipolar affective disorder, currently depressed, severe, with psychosis","N","Non-Standard","D","Invalid","191632009","Condition","SNOMED","Clinical Finding",1012435200000,1532995200000
"19",439244,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191631002","Condition","SNOMED","Clinical Finding",1012435200000,1.264896e+12
"20",439245,"Mixed bipolar affective disorder, in full remission","S","Standard","V","Valid","191643001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"21",439246,"Mixed bipolar affective disorder, severe, with psychosis","S","Standard","V","Valid","191641004","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"22",439247,"Mixed bipolar affective disorder, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191640003","Condition","SNOMED","Clinical Finding",1012435200000,1643241600000
"23",439248,"Mixed bipolar affective disorder, moderate","S","Standard","V","Valid","191639000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"24",439249,"Mixed bipolar affective disorder, mild","S","Standard","V","Valid","191638008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"25",439250,"Mixed bipolar affective disorder","S","Standard","V","Valid","191636007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"26",439251,"Bipolar affective disorder, currently depressed, in full remission","S","Standard","V","Valid","191634005","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"27",439253,"Bipolar affective disorder, currently depressed, mild","S","Standard","V","Valid","191629006","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"28",439254,"Bipolar affective disorder, current episode depression","S","Standard","V","Valid","191627008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"29",439255,"Bipolar affective disorder, currently manic, in full remission","S","Standard","V","Valid","191625000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"30",439256,"Bipolar affective disorder, currently manic, severe, with psychosis","S","Standard","V","Valid","191623007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"31",439257,"Bipolar affective disorder, currently manic, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191622002","Condition","SNOMED","Clinical Finding",1012435200000,1643241600000
"32",439785,"Moderate mixed bipolar I disorder","S","Standard","V","Valid","40926005","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"33",440067,"Moderate bipolar I disorder, single manic episode","S","Standard","V","Valid","28884001","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"34",440078,"Bipolar affective disorder, current episode manic","S","Standard","V","Valid","191618007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"35",440079,"Mild mixed bipolar I disorder","S","Standard","V","Valid","43769008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"36",441834,"Bipolar affective disorder, currently manic, mild","S","Standard","V","Valid","191620005","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"37",441836,"Depressed bipolar I disorder","S","Standard","V","Valid","49468007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"38",442570,"Severe depressed bipolar I disorder without psychotic features","S","Standard","V","Valid","61403008","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"39",442600,"Manic bipolar I disorder in partial remission","S","Standard","V","Valid","63249007","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"40",443797,"Severe manic bipolar I disorder without psychotic features","S","Standard","V","Valid","162004","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"41",443906,"Mixed bipolar I disorder","S","Standard","V","Valid","16506000","Condition","SNOMED","Clinical Finding",1012435200000,4102358400000
"42",1340265,"Exacerbation of bipolar disorder","S","Standard","V","Valid","OMOP5165920","Condition","OMOP Extension","Clinical Finding",1651795200000,4102358400000
"43",1410620,"Bipolar affective disorder","N","Non-Standard","V","Valid","F31","Condition","ICD10CN","ICD10 Hierarchy",1451606400000,4102358400000
"44",1410621,"Bipolar affective disorder, current episode hypomanic","N","Non-Standard","V","Valid","F31.0","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"45",1410622,"Bipolar affective disorder, current episode hypomanic","N","Non-Standard","V","Valid","F31.000","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"46",1410623,"Bipolar affective disorder, current episode manic without psychotic symptoms","N","Non-Standard","V","Valid","F31.1","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"47",1410624,"Bipolar affective disorder, current episode manic without psychotic symptoms","N","Non-Standard","V","Valid","F31.100","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"48",1410625,"Bipolar affective disorder, current episode manic with psychotic symptoms","N","Non-Standard","V","Valid","F31.2","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"49",1410626,"Bipolar affective disorder, current episode manic with psychotic symptoms","N","Non-Standard","V","Valid","F31.200","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"50",1410627,"Bipolar affective disorder, current episode mild or moderate depression","N","Non-Standard","V","Valid","F31.3","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"51",1410628,"Bipolar affective disorder, current episode mild or moderate depression","N","Non-Standard","V","Valid","F31.300","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"52",1410629,"Bipolar disorder, currently moderate depressive episode (machine translation)","N","Non-Standard","V","Valid","F31.301","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"53",1410630,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","N","Non-Standard","V","Valid","F31.4","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"54",1410631,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","N","Non-Standard","V","Valid","F31.400","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"55",1410632,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","N","Non-Standard","V","Valid","F31.5","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"56",1410633,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","N","Non-Standard","V","Valid","F31.500","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"57",1410634,"Bipolar affective disorder, current episode mixed","N","Non-Standard","V","Valid","F31.6","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"58",1410635,"Bipolar affective disorder, current episode mixed","N","Non-Standard","V","Valid","F31.600","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"59",1410636,"Bipolar affective disorder, currently in remission","N","Non-Standard","V","Valid","F31.7","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"60",1410638,"Bipolar affective disorder, currently in remission","N","Non-Standard","V","Valid","F31.700","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"61",1410639,"Other bipolar affective disorders","N","Non-Standard","V","Valid","F31.8","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"62",1410640,"Other bipolar affective disorders","N","Non-Standard","V","Valid","F31.800","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"63",1410641,"Chronic mania (machine translation)","N","Non-Standard","V","Valid","F31.801","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"64",1410642,"Bipolar disorder, rapid cycling (machine translation)","N","Non-Standard","V","Valid","F31.802","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"65",1410643,"Atypical Bipolar Disorder (machine translation)","N","Non-Standard","V","Valid","F31.803","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"66",1410644,"Bipolar affective disorder, unspecified","N","Non-Standard","V","Valid","F31.9","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"67",1410645,"Bipolar affective disorder, unspecified","N","Non-Standard","V","Valid","F31.900","Condition","ICD10CN","ICD10 code",1451606400000,4102358400000
"68",1568211,"Bipolar disorder","N","Non-Standard","V","Valid","F31","Condition","ICD10CM","3-char nonbill code",1.325376e+12,4102358400000
"69",1568212,"Bipolar disorder, current episode manic without psychotic features","N","Non-Standard","V","Valid","F31.1","Condition","ICD10CM","4-char nonbill code",1.325376e+12,4102358400000
"70",1568213,"Bipolar disorder, current episode depressed, mild or moderate severity","N","Non-Standard","V","Valid","F31.3","Condition","ICD10CM","4-char nonbill code",1.325376e+12,4102358400000
"71",1568214,"Bipolar disorder, current episode mixed","N","Non-Standard","V","Valid","F31.6","Condition","ICD10CM","4-char nonbill code",1.325376e+12,4102358400000
"72",1568215,"Bipolar disorder, currently in remission","N","Non-Standard","V","Valid","F31.7","Condition","ICD10CM","4-char nonbill code",1.325376e+12,4102358400000
"73",1568216,"Other bipolar disorders","N","Non-Standard","V","Valid","F31.8","Condition","ICD10CM","4-char nonbill code",1.325376e+12,4102358400000
"74",3105256,"Other manic-depressive psychos","N","Non-Standard","U","Invalid","154874009","Condition","Nebraska Lexicon","Clinical Finding",1012435200000,1501459200000
"75",3122546,"Bipolar affective disorder, currently manic, unspecified","N","Non-Standard","U","Invalid","191619004","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"76",3122547,"Bipolar affective disorder, currently manic, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191622002","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"77",3122548,"Bipolar affective disorder, currently manic, in partial or unspecified remission","N","Non-Standard","U","Invalid","191624001","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"78",3122549,"Bipolar affective disorder, currently manic, NOS","N","Non-Standard","U","Invalid","191626004","Condition","Nebraska Lexicon","Clinical Finding",1012348800000,1012435200000
"79",3122550,"Bipolar affective disorder, currently depressed, unspecified","N","Non-Standard","U","Invalid","191628003","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"80",3122551,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191631002","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"81",3122552,"Bipolar affective disorder, currently depressed, severe, with psychosis","N","Non-Standard","U","Invalid","191632009","Condition","Nebraska Lexicon","Clinical Finding",1501372800000,1501459200000
"82",3122553,"Bipolar affective disorder, currently depressed, in partial or unspecified remission","N","Non-Standard","U","Invalid","191633004","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"83",3122554,"Bipolar affective disorder, currently depressed, NOS","N","Non-Standard","U","Invalid","191635006","Condition","Nebraska Lexicon","Clinical Finding",1012348800000,1012435200000
"84",3122555,"Mixed bipolar affective disorder, unspecified","N","Non-Standard","U","Invalid","191637003","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"85",3122556,"Mixed bipolar affective disorder, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191640003","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"86",3122558,"Mixed bipolar affective disorder, in partial or unspecified remission","N","Non-Standard","U","Invalid","191642006","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"87",3122559,"Mixed bipolar affective disorder, NOS","N","Non-Standard","U","Invalid","191644007","Condition","Nebraska Lexicon","Clinical Finding",1012348800000,1012435200000
"88",3122560,"Unspecified bipolar affective disorder","N","Non-Standard","U","Invalid","191646009","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"89",3122561,"Unspecified bipolar affective disorder, unspecified","N","Non-Standard","U","Invalid","191647000","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"90",3122562,"Unspecified bipolar affective disorder, mild","N","Non-Standard","U","Invalid","191648005","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"91",3122563,"Unspecified bipolar affective disorder, moderate","N","Non-Standard","U","Invalid","191649002","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"92",3122564,"Unspecified bipolar affective disorder, severe, without mention of psychosis","N","Non-Standard","U","Invalid","191650002","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"93",3122565,"Unspecified bipolar affective disorder, severe, with psychosis","N","Non-Standard","U","Invalid","191651003","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"94",3122566,"Unspecified bipolar affective disorder, in partial or unspecified remission","N","Non-Standard","U","Invalid","191652005","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"95",3122567,"Unspecified bipolar affective disorder, in full remission","N","Non-Standard","U","Invalid","191653000","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"96",3122568,"Unspecified bipolar affective disorder, NOS","N","Non-Standard","U","Invalid","191654006","Condition","Nebraska Lexicon","Clinical Finding",1012348800000,1012435200000
"97",3122570,"Other and unspecified manic-depressive psychoses","N","Non-Standard","U","Invalid","191656008","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"98",3122571,"Unspecified manic-depressive psychoses","N","Non-Standard","U","Invalid","191657004","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"99",3122572,"Other mixed manic-depressive psychoses","N","Non-Standard","U","Invalid","191660006","Condition","Nebraska Lexicon","Clinical Finding",1.264896e+12,1501459200000
"100",3122573,"Other and unspecified manic-depressive psychoses NOS","N","Non-Standard","U","Invalid","191661005","Condition","Nebraska Lexicon","Clinical Finding",1012348800000,1012435200000
"101",3122894,"Bipolar disorder","N","Non-Standard","U","Invalid","192355004","Condition","Nebraska Lexicon","Clinical Finding",1012435200000,1501459200000
